W_REGN,W_PROV,SEQ_NO,FSIZE,TOINC,COFFEE,COCOA,FOOD_OUTSIDE,TOTEX
13,39,105930,4.0,369476.0,5475.0,0.0,81565.0,260720.0
13,39,105931,5.5,398060.0,3215.0,0.0,114000.0,376312.0
13,39,105932,2.0,174500.0,5475.0,0.0,10400.0,162675.0
13,39,105933,7.5,472000.0,10956.0,0.0,161600.0,409740.0
13,39,105934,11.0,820320.0,10950.0,0.0,238080.0,602396.0
13,39,105935,2.0,182200.0,5475.0,0.0,21350.0,118953.0
13,39,105936,4.0,406000.0,5294.0,0.0,53710.0,274522.0
13,39,105937,4.0,441350.0,6300.0,0.0,68470.0,270824.0
13,39,105938,4.0,315700.0,8190.0,0.0,75205.0,311086.0
13,39,105939,5.0,352040.0,2760.0,0.0,41510.0,243975.0
13,39,105940,4.0,253196.0,2760.0,0.0,48050.0,231128.0
13,39,105941,4.0,324500.0,2940.0,0.0,60080.0,304011.0
13,39,105942,2.0,287200.0,2760.0,0.0,46750.0,271678.0
13,39,105943,2.0,93690.0,5495.0,0.0,400.0,92316.0
13,39,105944,4.0,388400.0,5475.0,90.0,48360.0,239797.0
13,39,105945,5.0,263300.0,5475.0,0.0,70180.0,250303.0
13,39,105946,8.5,555120.0,8190.0,0.0,176700.0,454927.0
13,39,105947,3.0,177460.0,3625.0,0.0,16900.0,154409.0
13,39,105948,5.0,620050.0,7828.0,0.0,48800.0,458449.0
13,39,105949,4.5,400260.0,5475.0,0.0,100880.0,320450.0
13,39,105950,2.5,287900.0,5475.0,0.0,57265.0,264955.0
13,39,105951,4.0,130997.0,390.0,0.0,37960.0,130632.0
13,39,105952,5.0,315920.0,10120.0,0.0,103300.0,290359.0
13,39,105953,3.0,455840.0,5475.0,0.0,65000.0,257660.0
13,39,105954,10.0,834440.0,3488.0,0.0,221650.0,632988.0
13,39,105955,2.0,310400.0,2715.0,0.0,36200.0,176935.0
13,39,105956,4.0,375620.0,5475.0,0.0,89700.0,278750.0
13,39,105957,9.0,319336.0,5475.0,0.0,60600.0,326515.0
13,39,105958,3.5,266040.0,5475.0,0.0,23400.0,215642.0
13,39,105959,3.0,208931.0,2353.0,0.0,32220.0,212124.0
13,39,105960,7.5,667566.0,2788.0,0.0,147430.0,530416.0
13,39,105961,6.0,271081.0,5113.0,0.0,45050.0,269747.0
13,39,105962,3.5,195396.0,1404.0,0.0,62120.0,186545.0
13,39,105963,4.5,277481.0,7466.0,0.0,37440.0,272825.0
13,39,105964,5.5,230451.0,7873.0,0.0,54600.0,231553.0
13,39,105965,3.0,206966.0,5083.0,0.0,30680.0,193796.0
13,39,105966,8.0,795441.0,14710.0,0.0,132080.0,580995.0
13,39,105967,12.0,522411.0,10206.0,0.0,104080.0,450256.0
13,39,105968,4.0,202017.0,3744.0,0.0,31460.0,196334.0
13,39,105969,4.0,530518.0,1300.0,5092.0,62970.0,420815.5
13,39,105970,3.5,185810.0,338.0,0.0,10550.0,181265.0
13,39,105971,5.0,235831.0,5288.0,1810.0,17920.0,226910.0
13,39,105972,4.0,175569.0,715.0,0.0,11900.0,170795.0
13,39,105973,7.0,239126.0,2392.0,0.0,43940.0,219650.0
13,39,105974,4.0,173500.0,4745.0,3077.0,10860.0,171027.0
13,39,105975,1.0,279076.0,5107.0,0.0,7600.0,174854.0
13,39,105976,4.0,203491.0,3378.0,0.0,11800.0,190390.0
13,39,105977,5.0,208106.0,4745.0,1810.0,19000.0,204842.0
13,39,105978,3.0,209259.0,7436.0,780.0,11900.0,196058.0
13,39,105979,6.0,267751.0,7822.0,0.0,12480.0,258877.0
13,39,105980,2.0,183465.0,4745.0,0.0,2400.0,154695.0
13,39,105981,3.0,146196.0,2392.0,338.0,20480.0,144594.0
13,39,105982,4.0,177076.0,3112.0,1810.0,10140.0,172773.0
13,39,105983,2.0,134498.0,7059.0,0.0,26210.0,154353.0
13,39,105984,5.5,214090.0,4745.0,0.0,1300.0,207829.5
13,39,105985,1.0,58700.0,5475.0,0.0,25430.0,70464.0
13,39,105986,7.0,431841.0,5083.0,266.0,119600.0,397470.0
13,39,105987,8.0,282675.0,5113.0,0.0,69940.0,267878.0
13,39,105988,6.0,234211.0,3390.0,266.0,46720.0,257727.0
13,39,105989,8.0,444671.0,6118.0,0.0,134560.0,433359.0
13,39,105990,2.0,101365.0,2964.0,0.0,8580.0,99520.0
13,39,105991,6.0,411591.0,7813.0,0.0,77680.0,348640.0
13,39,105992,9.0,955081.0,15249.0,0.0,132470.0,669825.0
13,39,105993,6.0,513276.0,7873.0,0.0,15600.0,474716.0
13,39,105994,5.0,229631.0,2743.0,0.0,53300.0,231615.0
13,39,105995,3.0,168119.0,5113.0,0.0,29770.0,167966.0
13,39,105996,4.0,277146.0,5083.0,0.0,23400.0,256383.0
13,39,105997,6.0,414885.0,5113.0,0.0,102940.0,385226.0
13,39,105998,3.0,509013.0,4320.0,0.0,22100.0,414118.0
13,39,105999,4.5,427619.0,5213.0,0.0,45500.0,332698.0
13,39,106000,6.0,525181.0,8235.0,260.0,93260.0,534023.0
13,39,106001,5.0,261219.0,5475.0,120.0,64500.0,258689.0
13,39,106002,6.0,372759.0,8235.0,260.0,105300.0,339224.0
13,39,106003,3.5,206389.0,2760.0,0.0,26000.0,159690.0
13,39,106004,7.5,603144.0,4535.0,208.0,152920.0,542513.0
13,39,106005,8.5,512204.0,8235.0,260.0,160340.0,480793.0
13,39,106006,6.5,497244.0,5294.0,0.0,94130.0,482945.0
13,39,106007,7.0,507219.0,5520.0,1040.0,77670.0,464334.0
13,39,106008,5.0,650024.0,660.0,720.0,66700.0,573922.0
13,39,106009,5.0,294594.0,4342.0,120.0,37760.0,287191.0
13,39,106010,4.0,342739.0,390.0,260.0,89180.0,277148.0
13,39,106011,8.5,374709.0,780.0,520.0,79300.0,354187.0
13,39,106012,5.0,271104.0,762.0,120.0,14300.0,269594.0
13,39,106013,4.5,349145.0,5294.0,125.0,67900.0,274882.0
13,39,106014,11.0,684953.0,7747.0,4416.0,202800.0,563606.0
13,39,106015,2.0,144594.0,1170.0,0.0,36950.0,147546.0
13,39,106016,5.5,399704.0,2760.0,60.0,13000.0,363466.0
13,39,106017,1.0,200259.0,5656.0,120.0,900.0,140930.0
13,39,106018,8.0,1043684.0,9410.0,120.0,143900.0,593608.0
13,39,106019,5.0,352699.0,3718.0,0.0,84550.0,300591.0
13,39,106020,2.5,404706.0,7566.0,300.0,65000.0,342297.0
13,39,106021,3.0,355135.0,1517.0,0.0,24100.0,288047.0
13,39,106022,2.5,366603.0,3992.0,390.0,20400.0,288344.0
13,39,106023,3.0,312413.0,2803.0,1300.0,71400.0,253412.0
